college_code,Institute Name,Institute Address,Region,District,Status,Autonomy Status,Minority Status
03222,"Haji Jamaluddin Thim Trust's Theem College of Engineering, At. Villege Betegaon, Boisar","At Village Betegaon,Boisar Chillhar Road , Near Union Park,  Boisar(E), Tal: Palghar,",Mumbai,Palghar,Un-Aided,Non-Autonomous,Religious Minority - Muslim
03223,"Mahatma Education Society's Pillai HOC College of Engineering & Technology, Tal. Khalapur. Dist. Raigad","Pillai HOCL Educational Campus, Rasayani, Tal. Khalapur. Dist. Raisad-",Mumbai,Raigad,Un-Aided,Non-Autonomous,Linguistic Minority - Malyalam
03224,"Leela Education Society, G.V. Acharya Institute of Engineering and Technology, Shelu, Karjat","Shelu/Damat Village, (Opp. Shelu Rly Station), Tal. Karjat. Dist. Raigad",Mumbai,Raigad,Un-Aided,Non-Autonomous,Non-Minority
03257,"Vidya Prasarak Mandal's College of Engineering, Thane","Chendani, Bunder Road, Jnanadweepa , College Campus Thane , 400601",Mumbai,Thane,Un-Aided,Non-Autonomous,Non-Minority
03277,Pravin Rohidas Patil College of Engineering & Technology,"Mahavidyalaya Marg ,Navghar, Western Railway ,Bhayander(E), Bhayandar,Thane , 401105",Mumbai,Thane,Un-Aided,Non-Autonomous,Non-Minority
03351,"Bharat College of Engineering, Kanhor, Badlapur(W)","Kanhor, Badlapur(w).,Tal- Ambernath. Dist. Thane",Mumbai,Thane,Un-Aided,Non-Autonomous,Non-Minority
03353,"Dilkap Research Institute Of Engineering and Management Studies, At.Mamdapur, Post- Neral, Tal- Karjat,  Mumbai","Village At.Mamdapur, Post- Neral, Tal- Karjat,  Dist.Raigadh",Mumbai,Raigad,Un-Aided,Non-Autonomous,Non-Minority
03423,"Shree L.R. Tiwari College of Engineering, Mira Road, Mumbai","Survey no. 267, Near Commisioner's Bungalow,Kanakiya Park,Mira Road (E)Thane",Mumbai,Thane,Un-Aided,Non-Autonomous,Linguistic Minority - Hindi
03436,"B.R. Harne College of Engineering & Technology, Karav, Tal-Ambernath.","At.Karav, Post Vangani(w), Tal. Ambernath, Dist. Thane",Mumbai,Thane,Un-Aided,Non-Autonomous,Non-Minority
03439,"Anjuman-I-Islam's Kalsekar Technical Campus, Panvel","Plot No.2, 3 Sector - 16, Khandgaon, Thane Naka, Panvel Dist. Raigad",Mumbai,Raigad,Un-Aided,Non-Autonomous,Religious Minority - Muslim
03440,"Metropolitan Institute of Technology & Management, Sukhalwad, Sindhudurg.","At Village Sukhalwad, Near Sindhudurg Railway Station, Post Oras, Tal. Malvan Dist. Sindhudurg",Mumbai,Sindhudurg,Un-Aided,Non-Autonomous,Non-Minority
03445,"Vishwatmak Jangli Maharaj Ashram Trust (Kokamthan), Atma Malik Institute Of Technology & Research","Aatgaon ,Tansa - Aghai Road, At - Mohili, Post. Aghar, Taluka Shahapur, Dist. Thane",Mumbai,Thane,Un-Aided,Non-Autonomous,Non-Minority
03447,"G.M.Vedak Institute of Technology, Tala, Raigad.","At Post Taluka. Tala, Dist. Raigad",Mumbai,Raigad,Un-Aided,Non-Autonomous,Non-Minority
03460,"Universal College of Engineering,Kaman Dist. Palghar","Kaman Bhiwandi Road, S.N. 146(Part), Kaman, Vasai",Mumbai,Palghar,Un-Aided,Non-Autonomous,Linguistic Minority - Gujarathi
03462,"VPM's Maharshi Parshuram College of Engineering, Velneshwar, Ratnagiri.","At Post Velneshwar, Hedvai-Guhagar Road, Guhagar,Ratnagiri.",Mumbai,Ratnagiri,Un-Aided,Non-Autonomous,Non-Minority
03465,"Ideal Institute of Technology, Wada, Dist.Thane","40, Pasheri Village, Pimplaj road, Taluka Wada, Dist.Thane.",Mumbai,Palghar,Un-Aided,Non-Autonomous,Non-Minority
03467,"Vishwaniketan's Institute of Management Entrepreneurship and Engineering Technology(i MEET), Khalapur Dist Raigad","Survey No. 52 Kumbhivali, On Mumbai-Pune Expressway, Near Khalapur Toll Naka ,Tal-Khalapur, Dist- Raigad",Mumbai,Raigad,Un-Aided,Non-Autonomous,Non-Minority
03470,YASHWANTRAO BHONSALE INSTITUTE OF TECHNOLOGY,A/P CHARATHE (VAZARWADI) TAL.SAWANTWADI DIST.SINDHUDURG-416510,Mumbai,Sindhudurg,Un-Aided,Non-Autonomous,Non-Minority
03471,"New Horizon Institute of Technology & Management, Thane","Anand Nagar, Kavesar, Off. Ghodbunder Road, Thane(W)",Mumbai,Thane,Un-Aided,Non-Autonomous,Non-Minority
03475,"A. P. Shah Institute of Technology, Thane","Survey No. 12, Opp. Hypercity Mall, Kasarvadavali, Ghodbunder Road, Thane (W)",Mumbai,Thane,Un-Aided,Non-Autonomous,Religious Minority - Jain
03477,"Chhartrapati Shivaji Maharaj Institute of Technology, Shedung, Panvel","92A/1, Old Mumbai Pune Highway, Near Shedung Toll naka Village Shedung, Panvel, Dist Raigad",Mumbai,Raigad,Un-Aided,Non-Autonomous,Non-Minority
