college_code,college_name,branch_id,branch_name,seat_type,category_code,percentile,is_tfws,is_ews
01012,"Government College of Engineering,Yavatmal",0101224510,Computer Engineering,Other Than Home University Seats Allotted to Other Than Home University Candidates,LNT2O,73.7743452,False,False
01012,"Government College of Engineering,Yavatmal",0101224510,Computer Engineering,State Level,EWS,75.3410409,False,True
01012,"Government College of Engineering,Yavatmal",0101229310,Electrical Engineering,Home University Seats Allotted to Home University Candidates,GOPENH,69.7639628,False,False
01012,"Government College of Engineering,Yavatmal",0101229310,Electrical Engineering,Home University Seats Allotted to Home University Candidates,GNT1H,50.8618056,False,False
01012,"Government College of Engineering,Yavatmal",0101229310,Electrical Engineering,Home University Seats Allotted to Home University Candidates,GNT2H,57.3310702,False,False
01012,"Government College of Engineering,Yavatmal",0101229310,Electrical Engineering,Home University Seats Allotted to Home University Candidates,GNT3H,18.5574725,False,False
01012,"Government College of Engineering,Yavatmal",0101229310,Electrical Engineering,Home University Seats Allotted to Home University Candidates,GOBCH,66.1855163,False,False
01012,"Government College of Engineering,Yavatmal",0101229310,Electrical Engineering,Home University Seats Allotted to Home University Candidates,LOPENH,62.8351694,False,False
01012,"Government College of Engineering,Yavatmal",0101229310,Electrical Engineering,Home University Seats Allotted to Home University Candidates,LSCH,58.1588042,False,False
01012,"Government College of Engineering,Yavatmal",0101229310,Electrical Engineering,Home University Seats Allotted to Home University Candidates,LOBCH,62.7216425,False,False
01012,"Government College of Engineering,Yavatmal",0101229310,Electrical Engineering,Home University Seats Allotted to Home University Candidates,LSEBCH,67.0458361,False,False
01012,"Government College of Engineering,Yavatmal",0101229310,Electrical Engineering,Home University Seats Allotted to Other Than Home University Candidates,GSEBCH,38.5392182,False,False
01012,"Government College of Engineering,Yavatmal",0101229310,Electrical Engineering,Other Than Home University Seats Allotted to Other Than Home University Candidates,GOPENO,78.5613347,False,False
01012,"Government College of Engineering,Yavatmal",0101229310,Electrical Engineering,Other Than Home University Seats Allotted to Other Than Home University Candidates,GSCO,72.5041736,False,False
