college_code,college_name,University
4163,Rajiv Gandhi College of Engineering Research & Technology  Chandrapur,"Dr. Babasaheb Ambedkar Technological University,Lonere"
4167,"Yeshwantrao Chavan College of Engineering,Wanadongri, Nagpur",Rashtrasant Tukadoji Maharaj Nagpur University
4172,"Anjuman College of Engineering & Technology, Nagpur",Rashtrasant Tukadoji Maharaj Nagpur University
4174,"ST. Vincent Pallotti College of Engineering & Technology, Nagpur",Rashtrasant Tukadoji Maharaj Nagpur University
4175,"JMSS Shri Shankarprasad Agnihotri College of Engineering, Wardha",Rashtrasant Tukadoji Maharaj Nagpur University
4177,"Priyadarshini Bhagwati  College of Engineering, Harpur Nagar, Umred Road,Nagpur",Rashtrasant Tukadoji Maharaj Nagpur University
4181,"Swaminarayan Siddhanta Institute Of Technology, Nagpur","Dr. Babasaheb Ambedkar Technological University,Lonere"
4188,"Krushi Jivan Vikas Pratishthan, Ballarpur Institute of Technology, Mouza Bamni","Dr. Babasaheb Ambedkar Technological University,Lonere"
4190,"M.D. Yergude Memorial Shikshan Prasarak Mandal's Shri Sai College of Engineering & Technology, Bhadrawati","Dr. Babasaheb Ambedkar Technological University,Lonere"
4192,"Maitraya Education Society, Nagarjuna Institute of Engineering Technology & Management, Nagpur",Rashtrasant Tukadoji Maharaj Nagpur University
4193,"K.D.M. Education Society, Vidharbha Institute of Technology,Umred Road ,Nagpur","Dr. Babasaheb Ambedkar Technological University,Lonere"
4196,"Gurunanak Educational Society's Gurunanak Institute of Technology, Nagpur",Rashtrasant Tukadoji Maharaj Nagpur University
4197,"Jai Mahakali Shikshan Sanstha, Agnihotri College of Engineering, Sindhi(Meghe)",Rashtrasant Tukadoji Maharaj Nagpur University
4285," V M Institute of Engineering and Technology, Dongargaon, Nagpur",Rashtrasant Tukadoji Maharaj Nagpur University
4302,"Gondia Education Society's Manoharbhai Patel Institute Of Engineering & Technology, Shahapur, Bhandara",Rashtrasant Tukadoji Maharaj Nagpur University
4304,"Cummins College of Engineering For Women, Sukhali (Gupchup), Tal. Hingna Hingna Nagpur",Rashtrasant Tukadoji Maharaj Nagpur University
4613,"Suryodaya College of Engineering & Technology, Nagpur",Rashtrasant Tukadoji Maharaj Nagpur University
4648,"R.V. Parankar College of Engineering & Technology, Arvi, Dist Wardha",Rashtrasant Tukadoji Maharaj Nagpur University
4649,"Bajaj Institute of Technology, Wardha","Dr. Babasaheb Ambedkar Technological University,Lonere"
4679,"Karanjekar College of Engineering & Management, Sakoli","Dr. Babasaheb Ambedkar Technological University,Lonere"
5003,"University Institute  of Chemical Technology, North Maharashtra University, Jalgaon","Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon"
5004,"Government College of Engineering, Jalgaon","Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon"
5103,"Shri Shivaji Vidya Prasarak Sanstha's Late Bapusaheb Shivaji Rao Deore College of Engineering,Dhule","Dr. Babasaheb Ambedkar Technological University,Lonere"
5104,"Shramsadhana Bombay Trust, College of Engineering & Technology, Jalgaon","Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon"
5106,"Khandesh College Education Society's College Of Engineering And Management, Jalgaon","Dr. Babasaheb Ambedkar Technological University,Lonere"
5108,"Maratha Vidya Prasarak Samaj's Karmaveer Adv. Baburao Ganpatrao Thakare College Of Engineering, Nashik",Savitribai Phule Pune University
5109,"Sandip Foundation, Sandip Institute of Technology and Research Centre, Mahiravani, Nashik",Savitribai Phule Pune University
5121,"K. K. Wagh Institute of Engineering Education and Research, Nashik",Savitribai Phule Pune University
5124,"Jagadamba Education Soc. Nashik's S.N.D. College of Engineering & Reserch, Babulgaon",Savitribai Phule Pune University
5125,"Pravara Rural Education Society's Sir Visvesvaraya Institute of Technology, Chincholi Dist. Nashik",Savitribai Phule Pune University
5130,"Brahma Valley College of Engineering & Research, Trimbakeshwar, Nashik",Savitribai Phule Pune University
5139,"Pravara Rural College of Engineering, Loni, Pravaranagar, Ahmednagar.",Savitribai Phule Pune University
5151,"MET Bhujbal Knowledge City MET League's Engineering College, Adgaon, Nashik.",Savitribai Phule Pune University
5152,"G H Raisoni College of  Engineering and Management, Jalgaon","Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon"
5160,"Sanjivani Rural Education Society's Sanjivani College of Engineering, Kopargaon",Savitribai Phule Pune University
5161,"Dr. Vithalrao Vikhe Patil College of Engineering, Ahmednagar",Savitribai Phule Pune University
5162,"Amrutvahini Sheti & Shikshan Vikas Sanstha's Amrutvahini College of Engineering, Sangamner",Savitribai Phule Pune University
