college_code,college_name,district
6310,"Nutan Maharashtra Vidya Prasarak Mandal, Nutan Maharashtra Institute of Engineering &Technology, Talegaon station, Pune",Pune
6325,"Alard  Charitable Trust's Alard College of Engineering and Management, Pune",Pune
6622,ISBM College Of Engineering Pune,Pune
6796,"Bharati Vidyapeeth's College of Engineering,Lavale, Pune",Pune
6634,"KJEI's Trinity Academy of Engineering, Yewalewadi, Pune",Pune
6794,"Anantrao Pawar College of Engineering & Research, Pune",Pune
6772,"NBN Sinhgad Technical Institutes Campus, Pune",Pune
6771,"Flora Institute of Technology, Khopi, Near Khed Shivapur Toll Plaza, Pune",Pune
6770,"SKN Sinhgad Institute of Technology & Science, Kusgaon(BK),Pune.",Pune
6769,"Rasiklal M. Dhariwal Sinhgad Technical Institutes Campus, Warje, Pune.",Pune
6768,"P.K. Technical Campus, Pune.",Pune
6628,"Dattakala Group Of Institutions, Swami - Chincholi Tal. Daund Dist. Pune",Pune
6298,"Zeal Education Society's Zeal College of Engineering & Reserch, Narhe, Pune",Pune
6758,"Sahyadri Valley College of Engineering & Technology, Rajuri, Pune.",Pune
6755,"JSPM Narhe Technical Campus, Pune.",Pune
6808,"Keystone School of Engineering, Pune",Pune
6754,"International Institute of Information Technology (I²IT), Pune.",Pune
6732,"Ajeenkya DY Patil School of Engineering, Lohegaon, Pune",Pune
6649,"TSSM's Bhivarabai Sawant College of Engineering and Research, Narhe, Pune",Pune
6759,"Shree Ramchandra College of Engineering, Lonikand,Pune",Pune
6767,"Suman Ramesh Tulsiani Technical Campus: Faculty of Engineering, Kamshet,Pune.",Pune
6285,"Bharati Vidyapeeth's College of Engineering for Women, Katraj, Dhankawadi, Pune",Pune
6207,"Dr. D. Y. Patil Unitech Society's Dr. D. Y. Patil  Institute of Technology, Pimpri, Pune",Pune
6203,"Marathwada Mitra Mandal's Institute of Technology, Lohgaon, Pune",Pune
6187,"Sinhgad Academy of Engineering, Kondhwa (BK)  Kondhwa-Saswad Road, Pune",Pune
6179,"Indira College of Engineering & Management, Pune",Pune
6178,"Sinhgad Technical Education Society's Smt. Kashibai Navale College of Engineering,Vadgaon,Pune",Pune
6177,"Sinhgad College of Engineering, Vadgaon (BK), Pune",Pune
6175,"Pimpri Chinchwad Education Trust, Pimpri Chinchwad College of Engineering, Pune",Pune
6156,"Marathwada Mitra Mandal's College of Engineering, Karvenagar, Pune",Pune
6206,"Pune District Education  Association's College of Engineering, Manjari(Bk), Hadapsar, Pune",Pune
6155,"G.H.Raisoni College of Engineering & Management, Wagholi, Pune",Pune
6146,"MIT Academy of Engineering,Alandi, Pune",Pune
6145,"JSPM'S Jaywantrao Sawant College of Engineering,Pune",Pune
6144,"Genba Sopanrao Moze College of Engineering, Baner-Balewadi, Pune",Pune
6141,"Jaywant Shikshan Prasarak Mandal's,Rajarshi Shahu College of Engineering, Tathawade, Pune",Pune
6139,"Progressive Education Society's Modern College of Engineering, Pune",Pune
6138,"Genba Sopanrao Moze Trust Parvatibai Genba Moze College of Engineering,Wagholi, Pune",Pune
6122,"TSSMS's Pd. Vasantdada Patil Institute of Technology, Bavdhan, Pune",Pune
6149,"Siddhant College of Engineering, A/p Sudumbare, Tal.Maval, Dist-Pune",Pune
6271,Pune Institute of Computer Technology,Pune
6991,"Dr. D.Y. Patil Technical Campus, Varale, Talegaon, Pune",Pune
6273,"Bansilal Ramnath Agarawal Charitable Trust's Vishwakarma Institute of Technology, Bibwewadi, Pune",Pune
6272,"Dr. D. Y. Patil Pratishthan's D.Y.Patil College of Engineering Akurdi, Pune",Pune
6278,"All India Shri Shivaji Memorial Society's College of Engineering, Pune",Pune
6281,"Modern Education Society's Wadia College of Engineering, Pune",Pune
6274,"Pune Vidyarthi Griha's College of Engineering and Technology and G K Pate(Wani) Institute of  Management,  Pune",Pune
6282,"All India Shri Shivaji Memorial Society's Institute of Information Technology,Pune",Pune
6276,"MKSSS's Cummins College of Engineering for Women, Karvenagar,Pune",Pune
6284,"Vidya Pratishthan's Kamalnayan Bajaj Institute of Engineering & Technology, Baramati Dist.Pune",Pune
3223,"Mahatma Education Society's Pillai HOC College of Engineering & Technology, Tal. Khalapur. Dist. Raigad",Raigad
3467,"Vishwaniketan's Institute of Management Entrepreneurship and Engineering Technology(i MEET), Khalapur Dist Raigad",Raigad
3447,"G.M.Vedak Institute of Technology, Tala, Raigad.",Raigad
3216,"Gharda Foundation's Gharda Institute of Technology,Khed, Ratnagiri",Ratnagiri
3042,"Loknete Shamrao Peje Government College of Engineering, Ratnagiri",Ratnagiri
3462,"VPM's Maharshi Parshuram College of Engineering, Velneshwar, Ratnagiri.",Ratnagiri
3200,"Hope Foundation and research center's  Finolex Academy of Management and Technology, Ratnagiri",Ratnagiri
6214,"K. E. Society's Rajarambapu Institute of Technology, Walwa, Sangli",Sangli
6304,"Loknete Hanumantrao Charitable Trust's Adarsh Institute of Technology and Research Centre, Vita,Sangli",Sangli
6799,"Shivganga Charitable Trust, Sangli Vishveshwarya Technical Campus, Faculty of Diploma Engineering, Patgaon, Miraj",Sangli
6007,"Walchand College of Engineering, Sangli",Sangli
6269,"Shetkari Shikshan Mandal's Pad. Vasantraodada Patil Institute of Technology, Budhgaon, Sangli",Sangli
6283,"Annasaheb Dange College of Engineering and Technology, Ashta, Sangli",Sangli
6762,"Nanasaheb Mahadik College of Engineering,Walwa, Sangli.",Sangli
6305,"Late Narayandas Bhawandas Chhabada Institute of Engineering & Technology, Satara",Satara
6797,"Dnyanshree Institute Engineering and Technology, Satara",Satara
6766,Phaltan Education Society's College of Engineering Thakurki Tal- Phaltan Dist-Satara,Satara
6270,"Rayat Shikshan Sanstha's Karmaveer Bhaurao Patil College of Engineering, Satara",Satara
6545,"Samarth Education Trust's Arvind Gavali College Of Engineering Panwalewadi, Varye,Satara.",Satara
6757,"Yashoda Technical Campus, Wadhe, Satara.",Satara
3440,"Metropolitan Institute of Technology & Management, Sukhalwad, Sindhudurg.",Sindhudurg
