Rank,Percentile,Choice Code,Merit Exam
16449,83.6733531,0319424610,JEE(Main)-2024
27843,73.6143868,0319437210,JEE(Main)-2024
21472,79.1146984,0319491210,JEE(Main)-2024
43427,60.5733600,0319461210,JEE(Main)-2024
15441,84.6392764,0319424510,JEE(Main)-2024
72026,34.5491435,0319419110,JEE(Main)-2024
48460,56.2873843,0319437810,JEE(Main)-2024
16686,83.5374616,0319499510,JEE(Main)-2024
53643,51.7541555,0319661210,JEE(Main)-2024
13094,86.7630872,0319624510,JEE(Main)-2024
19800,80.7176074,0319692010,JEE(Main)-2024
18956,81.4533784,0319691210,JEE(Main)-2024
28335,72.9923375,0319637210,JEE(Main)-2024
20121,80.3927437,0319691110,JEE(Main)-2024
39033,64.1774008,0319629310,JEE(Main)-2024
19570,80.9683243,0319761210,JEE(Main)-2024
7119,92.2750972,0319737210,JEE(Main)-2024
5220,94.0133696,0319724610,JEE(Main)-2024
4870,94.3579407,0319724510,JEE(Main)-2024
8839,90.6707135,0319729310,JEE(Main)-2024
45359,58.8742611,0319899510,JEE(Main)-2024
44712,59.4921959,0319824610,JEE(Main)-2024
37913,64.9789150,0319824210,JEE(Main)-2024
38414,64.5643132,0319824510,JEE(Main)-2024
1849,97.3251620,0319992010,JEE(Main)-2024
4074,95.0958991,0319961210,JEE(Main)-2024
1500,97.6683893,0319924610,JEE(Main)-2024
1593,97.5892053,0319991210,JEE(Main)-2024
2498,96.6168085,0319937210,JEE(Main)-2024
885,98.4023558,0319924510,JEE(Main)-2024
1760,97.4217070,0319992110,JEE(Main)-2024
1488,97.6970007,0319926310,JEE(Main)-2024
49332,55.5917670,0320091010,JEE(Main)-2024
35862,66.6655105,0320091110,JEE(Main)-2024
47457,57.3011125,0320024610,JEE(Main)-2024
141506,57.1543272,0320061210,MHT-CET
144943,54.0859766,0320029310,MHT-CET
72616,33.4714446,0320037210,JEE(Main)-2024
88509,8.7363016,0320050710,JEE(Main)-2024
34916,67.4708310,0320161210,JEE(Main)-2024
40182,63.2235380,0320119110,JEE(Main)-2024
17745,82.5427557,0320190010,JEE(Main)-2024
