college_code,Institute Name,Region,District,Status,Autonomy Status,Minority Status,Home University
4025,"Government College of Engineering, Nagpur",Nagpur,Nagpur,Government,Non-Autonomous,Non-Minority,Rashtrasant Tukadoji Maharaj Nagpur University
4118,"Bapurao Deshmukh College of Engineering, Sevagram",Nagpur,Wardha,Un-Aided,Non-Autonomous,Non-Minority,Rashtrasant Tukadoji Maharaj Nagpur University
4123,"Lokmanya Tilak Jankalyan Shikshan Sanstha, Priyadarshani College of Engineering, Nagpur",Nagpur,Nagpur,Un-Aided,Autonomous,Linguistic Minority - Hindi,Rashtrasant Tukadoji Maharaj Nagpur University
4133,"Sanmarg Shikshan Sanstha's Smt. Radhikatai Pandav College of Engineering, Nagpur",Nagpur,Nagpur,Un-Aided,Non-Autonomous,Non-Minority,Rashtrasant Tukadoji Maharaj Nagpur University
4116,"Ankush Shikshan Sanstha's G.H.Raisoni College of Engineering, Nagpur",Nagpur,Nagpur,Un-Aided,Autonomous,Linguistic Minority - Hindi,Rashtrasant Tukadoji Maharaj Nagpur University
4134,"Guru Nanak Institute of Engineering & Technology,Kalmeshwar, Nagpur",Nagpur,Nagpur,Un-Aided,Non-Autonomous,Non-Minority,Rashtrasant Tukadoji Maharaj Nagpur University
4136,"Lokmanya Tilak Jankalyan Shikshan Sastha, Priyadarshini J. L. College Of Engineering, Nagpur",Nagpur,Nagpur,Un-Aided,Autonomous,Linguistic Minority - Hindi,Rashtrasant Tukadoji Maharaj Nagpur University
4137,"Sir Shantilal Badjate Charitable Trust's S. B. Jain Institute of technology, Management & Research, Nagpur",Nagpur,Nagpur,Un-Aided,Autonomous,Linguistic Minority - Hindi,Rashtrasant Tukadoji Maharaj Nagpur University
4135,"Amar Seva Mandal's Shree Govindrao Vanjari College of Engineering &  Technology, Nagpur",Nagpur,Nagpur,Un-Aided,Non-Autonomous,Non-Minority,"Dr. Babasaheb Ambedkar Technological University,Lonere"
4138,"Jaidev Education Society, J D College of Engineering and Management, Nagpur",Nagpur,Nagpur,Un-Aided,Autonomous,Linguistic Minority - Hindi,"Dr. Babasaheb Ambedkar Technological University,Lonere"
4139,"Samridhi Sarwajanik Charitable Trust, Jhulelal Institute of Technology, Nagpur",Nagpur,Nagpur,Un-Aided,Autonomous,Linguistic Minority - Sindhi,Rashtrasant Tukadoji Maharaj Nagpur University
4141,"Shriram Gram Vikas Shikshan Sanstha, Vilasrao Deshmukh College of Engineering and Technology, Nagpur",Nagpur,Nagpur,Un-Aided,Non-Autonomous,Non-Minority,"Dr. Babasaheb Ambedkar Technological University,Lonere"
4147,"K.D.K. College of Engineering, Nagpur",Nagpur,Nagpur,Un-Aided,Autonomous,Non-Minority,Rashtrasant Tukadoji Maharaj Nagpur University
4143,"Sanmarg Shikshan Sanstha, Mandukarrao Pandav College of Engineering, Bhandara",Nagpur,Bhandara,Un-Aided,Non-Autonomous,Non-Minority,Rashtrasant Tukadoji Maharaj Nagpur University
4142,"G H Raisoni College of Engineering & Management, Nagpur",Nagpur,Nagpur,Un-Aided,Autonomous,Linguistic Minority - Hindi,Rashtrasant Tukadoji Maharaj Nagpur University
4172,"Anjuman College of Engineering & Technology, Nagpur",Nagpur,Nagpur,Un-Aided,Non-Autonomous,Religious Minority - Muslim,Rashtrasant Tukadoji Maharaj Nagpur University
4145,"Wainganga College of Engineering and Management, Dongargaon, Nagpur",Nagpur,Nagpur,Un-Aided,Autonomous,Non-Minority,Rashtrasant Tukadoji Maharaj Nagpur University
4144,"Shri. Sai Shikshan Sanstha, Nagpur Institute of Technology, Nagpur",Nagpur,Nagpur,Un-Aided,Non-Autonomous,Non-Minority,Rashtrasant Tukadoji Maharaj Nagpur University
4163,Rajiv Gandhi College of Engineering Research & Technology  Chandrapur,Nagpur,Chandrapur,Un-Aided,Non-Autonomous,Non-Minority,"Dr. Babasaheb Ambedkar Technological University,Lonere"
4167,"Yeshwantrao Chavan College of Engineering,Wanadongri, Nagpur",Nagpur,Nagpur,Un-Aided,Autonomous,Non-Minority,Rashtrasant Tukadoji Maharaj Nagpur University
4151,"Tulsiramji Gaikwad Patil College of Engineering & Technology, Nagpur",Nagpur,Nagpur,Un-Aided,Autonomous,Non-Minority,Rashtrasant Tukadoji Maharaj Nagpur University
4174,"ST. Vincent Pallotti College of Engineering & Technology, Nagpur",Nagpur,Nagpur,Un-Aided,Autonomous,Religious Minority - Christian,Rashtrasant Tukadoji Maharaj Nagpur University
4177,"Priyadarshini Bhagwati  College of Engineering, Harpur Nagar, Umred Road,Nagpur",Nagpur,Nagpur,Un-Aided,Non-Autonomous,Linguistic Minority - Hindi,Rashtrasant Tukadoji Maharaj Nagpur University
4190,"M.D. Yergude Memorial Shikshan Prasarak Mandal's Shri Sai College of Engineering & Technology, Bhadrawati",Nagpur,Chandrapur,Un-Aided,Non-Autonomous,Non-Minority,"Dr. Babasaheb Ambedkar Technological University,Lonere"
